epoch,batch,global_batch,batch_loss,epoch_avg_loss
1,0,1,1.0719162225723267,1.0719162225723267
1,1,2,0.8228076696395874,0.947361946105957
1,2,3,0.6605031490325928,0.8517423470815023
1,3,4,0.5230286717414856,0.7695639282464981
1,4,5,0.4267105162143707,0.7009932458400726
1,5,6,0.3274558186531067,0.6387370079755783
1,6,7,0.2726227343082428,0.5864349688802447
1,7,8,0.24624088406562805,0.5439107082784176
1,8,9,0.17384840548038483,0.5027926746341917
1,9,10,0.15042465925216675,0.4675558730959892
1,10,11,0.14227190613746643,0.4379846033724872
1,11,12,0.12533408403396606,0.4119303934276104
1,12,13,0.13518643379211426,0.3906423965325722
1,13,14,0.13583332300186157,0.37244174842323574
1,14,15,0.09069642424583435,0.353658726811409
1,15,16,0.11978534609079361,0.33904164051637053
1,16,17,0.11725568771362305,0.32599540799856186
1,17,18,0.11518784612417221,0.314283876783318
1,18,19,0.09818847477436066,0.30291043457232025
1,19,20,0.09482830762863159,0.2925063282251358
1,20,21,0.10016840696334839,0.2833473795936221
1,21,22,0.0951906070113182,0.27479479902169923
