epoch,batch,global_batch,batch_loss,epoch_avg_loss
1,EPOCH_END,469,,0.054824026230015734
2,EPOCH_END,938,,0.021662785270527354
3,EPOCH_END,1407,,0.017707338540761203
4,EPOCH_END,1876,,0.015623120479841731
5,EPOCH_END,2345,,0.014548489365226297
6,EPOCH_END,2814,,0.013752184425002095
7,EPOCH_END,3283,,0.013062790693488837
8,EPOCH_END,3752,,0.012555457157160301
9,EPOCH_END,4221,,0.012311105124914507
10,EPOCH_END,4690,,0.012069146121059781
11,EPOCH_END,5159,,0.01172959627901345
12,EPOCH_END,5628,,0.011653519322924903
13,EPOCH_END,6097,,0.01150796890084042
14,EPOCH_END,6566,,0.011335702215843617
15,EPOCH_END,7035,,0.01116634063672886
16,EPOCH_END,7504,,0.010989210386671174
17,EPOCH_END,7973,,0.010936163149392808
18,EPOCH_END,8442,,0.011032442893904409
19,EPOCH_END,8911,,0.010743198868657735
20,EPOCH_END,9380,,0.01086313936358957
21,EPOCH_END,9849,,0.010661855356882948
22,EPOCH_END,10318,,0.010721884349158514
23,EPOCH_END,10787,,0.01062230650446753
24,EPOCH_END,11256,,0.010540016416484105
25,EPOCH_END,11725,,0.010507576217227525
26,EPOCH_END,12194,,0.010458163252827137
27,EPOCH_END,12663,,0.010399827889518253
28,EPOCH_END,13132,,0.010381296023861494
29,EPOCH_END,13601,,0.010271917782358524
30,EPOCH_END,14070,,0.010363164420392531
31,EPOCH_END,14539,,0.010254541690002627
32,EPOCH_END,15008,,0.010317875995739564
33,EPOCH_END,15477,,0.010162065369583397
34,EPOCH_END,15946,,0.01024516511049225
35,EPOCH_END,16415,,0.010176057205485827
36,EPOCH_END,16884,,0.010106192290115713
37,EPOCH_END,17353,,0.010133244691968663
38,EPOCH_END,17822,,0.010106908546677276
39,EPOCH_END,18291,,0.010122908189940428
40,EPOCH_END,18760,,0.010041784214129898
41,EPOCH_END,19229,,0.009986418944749751
42,EPOCH_END,19698,,0.010006090139608775
43,EPOCH_END,20167,,0.010106069670279206
44,EPOCH_END,20636,,0.009945689895148598
45,EPOCH_END,21105,,0.009876550533679694
46,EPOCH_END,21574,,0.010072335536315688
47,EPOCH_END,22043,,0.00989936831305975
48,EPOCH_END,22512,,0.009907479068315996
49,EPOCH_END,22981,,0.010001123135190592
50,EPOCH_END,23450,,0.009947161925936749
